codigo;descrip;cod_padre;Activo;Raiz;Padre;Cats
0;INICIO;;1;2;;2,,0
101;CELULOSA;2;1;2;INICIO;2,101
102;HIGIENICO;2;1;2;INICIO;2,102
103;EQUIPAMIENTOS;2;1;2;INICIO;2,103
104;DISPENSADORES;2;1;2;INICIO;2,104
105;QUIMICOS;2;1;2;INICIO;2,105
106;COCINA;2;1;2;INICIO;2,106
107;SUELOS;2;1;2;INICIO;2,107
108;BAÑOS;2;1;2;INICIO;2,108
109;LIMPIEZA DE INTERIORES;2;1;2;INICIO;2,109
110;LAVANDERIA;2;1;2;INICIO;2,110
111;ASEO PERSONAL;2;1;2;INICIO;2,111
112;INDUSTRIA Y TRANSPORTE;2;1;2;INICIO;2,112
113;AMBIENTADORES;2;1;2;INICIO;2,113
114;LIMPIEZA HOSPITALARIA;2;1;2;INICIO;2,114
115;UTILES DE LIMPIEZA;2;1;2;INICIO;2,115
116;BAYETAS Y PAÑOS;2;1;2;INICIO;2,116
117;SISTEMAS DE FREGADO/BARRIDO PL;2;1;2;INICIO;2,117
118;FREGADO TRADICIONAL;2;1;2;INICIO;2,118
119;CUBOS;2;1;2;INICIO;2,119
120;GUANTES;2;1;2;INICIO;2,120
121;CARROS;2;1;2;INICIO;2,121
122;DISCOS;2;1;2;INICIO;2,122
123;PALOS;2;1;2;INICIO;2,123
124;LIMPIEZA DE CRISTALES;2;1;2;INICIO;2,124
125;BOLSAS DE BASURA;2;1;2;INICIO;2,125
126;DESECHABLES;2;1;2;INICIO;2,126
127;MAQUINARIA;2;1;2;INICIO;2,127
128;ASPIRADORES;2;1;2;INICIO;2,128
129;FREGADORAS;2;1;2;INICIO;2,129
130;HIDROLIMPIADORAS;2;1;2;INICIO;2,130
131;DUNI;2;1;2;INICIO;2,131
132;HIGIENICO;101;1;2;CELULOSA;2,101,132
133;BOBINAS SECAMANOS;101;1;2;CELULOSA;2,101,133
134;TOALLAS SECAMANOS;101;1;2;CELULOSA;2,101,134
135;BOBINAS INDUSTRIALES;101;1;2;CELULOSA;2,101,135
136;PAPEL DE COCINA;101;1;2;CELULOSA;2,101,136
137;CELULOSA INDUSTRIAL;101;1;2;CELULOSA;2,101,137
138;SERVILLETAS;101;1;2;CELULOSA;2,101,138
139;MANTELERIA;101;1;2;CELULOSA;2,101,139
140;ROLLO CAMILLA;101;1;2;CELULOSA;2,101,140
141;FACIALES;101;1;2;CELULOSA;2,101,141
142;OTROS CELULOSA;101;1;2;CELULOSA;2,101,142
143;HIGIENICO DOMESTICO;102;1;2;HIGIENICO;2,102,143
144;HIGIENICO INDUSTRIAL;102;1;2;HIGIENICO;2,102,144
145;HIGIENICO CORTADO;102;1;2;HIGIENICO;2,102,145
146;DISPENSADORES;103;1;2;EQUIPAMIENTOS;2,103,146
147;EQUIPOS DE DOSIFICACION;103;1;2;EQUIPAMIENTOS;2,103,147
148;ALFOMBRAS;103;1;2;EQUIPAMIENTOS;2,103,148
149;ESCALERAS;103;1;2;EQUIPAMIENTOS;2,103,149
150;EXTERMINADOR DE INSECTOS;103;1;2;EQUIPAMIENTOS;2,103,150
151;SECADORES ELECTRICOS;103;1;2;EQUIPAMIENTOS;2,103,151
152;PAPELERAS;103;1;2;EQUIPAMIENTOS;2,103,152
153;CONTENEDORES;103;1;2;EQUIPAMIENTOS;2,103,153
154;ENFUNDADOR DE PARAGUAS;103;1;2;EQUIPAMIENTOS;2,103,154
155;SEÑALIZACION;103;1;2;EQUIPAMIENTOS;2,103,155
156;DISPENSADOR HIGIENICO;104;1;2;DISPENSADORES;2,104,156
157;DISPENSADOR BOBINA;104;1;2;DISPENSADORES;2,104,157
158;DISPENSADOR TOALLAS;104;1;2;DISPENSADORES;2,104,158
159;DISPENSADOR AMBIENTADOR;104;1;2;DISPENSADORES;2,104,159
160;DISPENSADOR JABÓN;104;1;2;DISPENSADORES;2,104,160
161;OTROS DISPENSADORES;104;1;2;DISPENSADORES;2,104,161
162;COCINA;105;1;2;QUIMICOS;2,105,162
163;SUELOS;105;1;2;QUIMICOS;2,105,163
164;BAÑOS;105;1;2;QUIMICOS;2,105,164
165;LIMPIEZA DE INTERIORES;105;1;2;QUIMICOS;2,105,165
166;LAVANDERIA;105;1;2;QUIMICOS;2,105,166
167;ASEO PERSONAL;105;1;2;QUIMICOS;2,105,167
168;AMBIENTADORES;105;1;2;QUIMICOS;2,105,168
169;INSECTICIDAS;105;1;2;QUIMICOS;2,105,169
170;OTROS QUIMICOS;105;1;2;QUIMICOS;2,105,170
171;INDUSTRIA Y TRANSPORTE;105;1;2;QUIMICOS;2,105,171
172;GAMA BUSSINESS SOLUTION;105;1;2;QUIMICOS;2,105,172
173;LIMPIEZA HOSPITALARIA;105;1;2;QUIMICOS;2,105,173
174;PRODUCTOS P&G;105;1;2;QUIMICOS;2,105,174
175;LAVADO AUTOMATICO;106;1;2;COCINA;2,106,175
176;ABRILLANTADORES;106;1;2;COCINA;2,106,176
177;DETERGENTE+ABRILLANTADOR;106;1;2;COCINA;2,106,177
178;GAMA PUR ECO LAVADO;106;1;2;COCINA;2,106,178
179;GAMA SUMA REVOFLOW;106;1;2;COCINA;2,106,179
180;GAMA PUR ECO HIGIENE;106;1;2;COCINA;2,106,180
181;DESINCRUSTANTES;106;1;2;COCINA;2,106,181
182;LAVADO MANUAL;106;1;2;COCINA;2,106,182
183;DESENGRASANTES;106;1;2;COCINA;2,106,183
184;REMOJO Y RECUPERACION;106;1;2;COCINA;2,106,184
185;LIMPIEZA HORNOS;106;1;2;COCINA;2,106,185
186;DESINFECTANTES COCINA;106;1;2;COCINA;2,106,186
187;OTROS QUIMICOS COCINAS;106;1;2;COCINA;2,106,187
188;SISTEMA SMARTDOSE-COCINAS;106;1;2;COCINA;2,106,188
189;SISTEMA DIVERMITE-COCINAS;106;1;2;COCINA;2,106,189
190;SISTEMA SAFEPACK;106;1;2;COCINA;2,106,190
191;AUDITORIAS;106;1;2;COCINA;2,106,191
192;DOSIFICACION;106;1;2;COCINA;2,106,192
193;MARCAS PROFESIONALES COCINA;106;1;2;COCINA;2,106,193
194;LIMPIADORES MANTENEDORES;107;1;2;SUELOS;2,107,194
195;IMPREGNADORES;107;1;2;SUELOS;2,107,195
196;CERAS Y EMULSIONES;107;1;2;SUELOS;2,107,196
197;DECAPANTES;107;1;2;SUELOS;2,107,197
198;CRISTALIZADORES;107;1;2;SUELOS;2,107,198
199;MADERA Y PARQUET;107;1;2;SUELOS;2,107,199
200;MOQUETAS;107;1;2;SUELOS;2,107,200
201;OTROS QUIMICOS SUELOS;107;1;2;SUELOS;2,107,201
202;MARCAS PROFESIONALES SUELOS;107;1;2;SUELOS;2,107,202
203;LIMPIEZA GENERAL BAÑOS;108;1;2;BAÑOS;2,108,203
204;DESINFECTANTES BAÑO;108;1;2;BAÑOS;2,108,204
205;ESPECIALIDADES BAÑOS;108;1;2;BAÑOS;2,108,205
206;OTROS QUIMICOS BAÑOS;108;1;2;BAÑOS;2,108,206
207;MARCAS PROFESIONALES BAÑOS;108;1;2;BAÑOS;2,108,207
208;MULTIUSOS;109;1;2;LIMPIEZA DE INTERIORES;2,109,208
209;LIMPIADORES GENERALES;109;1;2;LIMPIEZA DE INTERIORES;2,109,209
210;DESINFECTANTES LIMPIEZA INTERIORES;109;1;2;LIMPIEZA DE INTERIORES;2,109,210
211;LIMPIAMETALES;109;1;2;LIMPIEZA DE INTERIORES;2,109,211
212;OTROS QUIMICOS LIMPIEZA DE INTERIORES;109;1;2;LIMPIEZA DE INTERIORES;2,109,212
213;GAMA EXACT;109;1;2;LIMPIEZA DE INTERIORES;2,109,213
214;GAMA ROOM CARE;109;1;2;LIMPIEZA DE INTERIORES;2,109,214
215;SISTEMA SMARTDOSE;109;1;2;LIMPIEZA DE INTERIORES;2,109,215
216;SISTEMA QUATTRO SELECT;109;1;2;LIMPIEZA DE INTERIORES;2,109,216
217;ACCESORIOS;109;1;2;LIMPIEZA DE INTERIORES;2,109,217
218;GAMA ROOM CARE PUR ECO;109;1;2;LIMPIEZA DE INTERIORES;2,109,218
219;SISTEMA DIVERMITE-LIMPIEZA DE INTERIORES;109;1;2;LIMPIEZA DE INTERIORES;2,109,219
220;BOTELLAS DIVERMITE;109;1;2;LIMPIEZA DE INTERIORES;2,109,220
221;MARCAS PROFESIONALES LIMPIEZA;109;1;2;LIMPIEZA DE INTERIORES;2,109,221
222;DETERGENTES EN POLVO;110;1;2;LAVANDERIA;2,110,222
223;DETERGENTES COMPLETOS;110;1;2;LAVANDERIA;2,110,223
224;MARCAS PROFESIONALES LAVANDERIA;110;1;2;LAVANDERIA;2,110,224
225;ESPECIALIDADES;110;1;2;LAVANDERIA;2,110,225
226;DETERGENTES LIQUIDOS;110;1;2;LAVANDERIA;2,110,226
227;BLANQUEANTES;110;1;2;LAVANDERIA;2,110,227
228;NEUTRALIZANTES;110;1;2;LAVANDERIA;2,110,228
229;COMPONENTES LAVANDERIA;110;1;2;LAVANDERIA;2,110,229
230;SUAVIZANTES;110;1;2;LAVANDERIA;2,110,230
231;SISTEMA REVOFLOW;110;1;2;LAVANDERIA;2,110,231
232;PRODUCTOS ESPECIALES LAVANDERIA;110;1;2;LAVANDERIA;2,110,232
233;JABONES A GRANEL;111;1;2;ASEO PERSONAL;2,111,233
234;JABONES PELICANO;111;1;2;ASEO PERSONAL;2,111,234
235;JABONES EN ESPUMA;111;1;2;ASEO PERSONAL;2,111,235
236;JABONES DE RECARGA;111;1;2;ASEO PERSONAL;2,111,236
237;LINEA SOFT CARE LINE;111;1;2;ASEO PERSONAL;2,111,237
238;LINEA SOFT CARE SELECT;111;1;2;ASEO PERSONAL;2,111,238
239;GAMA SOFT CARE SENSATIONS;111;1;2;ASEO PERSONAL;2,111,239
240;JABONES INDUSTRIALES;111;1;2;ASEO PERSONAL;2,111,240
241;TOALLAS Y ESPONJAS IMPREGNADAS;111;1;2;ASEO PERSONAL;2,111,241
242;LIMPIADOR PARA INODORO;111;1;2;ASEO PERSONAL;2,111,242
243;CHAMPÚ Y GELES;111;1;2;ASEO PERSONAL;2,111,243
244;HIDRATANTES Y COLONIAS;111;1;2;ASEO PERSONAL;2,111,244
245;AMENITIES;111;1;2;ASEO PERSONAL;2,111,245
246;METAL E INDUSTRIA;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,246
247;DETERGENTES ALCALINOS;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,247
248;DETERGENTES ACIDOS;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,248
249;CHAMPUES;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,249
250;CERAS;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,250
251;DESPARAFINANTES;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,251
252;DESENGRASANTE MOTORES;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,252
253;OTROS QUIMICOS INDUSTRIA;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,253
254;EQUIPOS;112;1;2;INDUSTRIA Y TRANSPORTE;2,112,254
255;AMBIENTADORES LIQUIDOS;113;1;2;AMBIENTADORES;2,113,255
256;AMBIENTADORES EN AEROSOL;113;1;2;AMBIENTADORES;2,113,256
257;AMBIENTADORES EN RECARGA;113;1;2;AMBIENTADORES;2,113,257
258;LIMPIADORES AMBIENTADORES;113;1;2;AMBIENTADORES;2,113,258
259;AMBIENTADORES SANITARIOS;113;1;2;AMBIENTADORES;2,113,259
260;GAMA GOOD SENSE SERVICE;113;1;2;AMBIENTADORES;2,113,260
261;LAVADO INSTRUMENTAL QUIRURGICO;114;1;2;LIMPIEZA HOSPITALARIA;2,114,261
262;LAVADO CUÑAS;114;1;2;LIMPIEZA HOSPITALARIA;2,114,262
263;DESINFECCION HOSPITALARIA;114;1;2;LIMPIEZA HOSPITALARIA;2,114,263
264;BAYETAS Y PAÑOS;115;1;2;UTILES DE LIMPIEZA;2,115,264
265;SISTEMAS DE FREGADO/BARRIDO PLANO;115;1;2;UTILES DE LIMPIEZA;2,115,265
266;FREGADO TRADICIONAL;115;1;2;UTILES DE LIMPIEZA;2,115,266
267;BARRIDO TRADICIONAL;115;1;2;UTILES DE LIMPIEZA;2,115,267
268;CEPILLOS;115;1;2;UTILES DE LIMPIEZA;2,115,268
269;BASTIDORES Y SOPORTES;115;1;2;UTILES DE LIMPIEZA;2,115,269
270;MOPAS;115;1;2;UTILES DE LIMPIEZA;2,115,270
271;ROLLOS/ALMOHADILLAS/LAMINADOS;115;1;2;UTILES DE LIMPIEZA;2,115,271
272;DISCOS;115;1;2;UTILES DE LIMPIEZA;2,115,272
273;PALOS;115;1;2;UTILES DE LIMPIEZA;2,115,273
274;GASAS;115;1;2;UTILES DE LIMPIEZA;2,115,274
275;CUBOS;115;1;2;UTILES DE LIMPIEZA;2,115,275
276;RECOGEDORES;115;1;2;UTILES DE LIMPIEZA;2,115,276
277;PLUMEROS;115;1;2;UTILES DE LIMPIEZA;2,115,277
278;HARAGANES;115;1;2;UTILES DE LIMPIEZA;2,115,278
279;CARROS;115;1;2;UTILES DE LIMPIEZA;2,115,279
280;BOTELLAS Y PULVERIZADORES;115;1;2;UTILES DE LIMPIEZA;2,115,280
281;GUANTES;115;1;2;UTILES DE LIMPIEZA;2,115,281
282;LANA DE ACERO;115;1;2;UTILES DE LIMPIEZA;2,115,282
283;LIMPIEZA DE CRISTALES;115;1;2;UTILES DE LIMPIEZA;2,115,283
284;ROCIADORAS;115;1;2;UTILES DE LIMPIEZA;2,115,284
285;VARIOS;115;1;2;UTILES DE LIMPIEZA;2,115,285
286;ACCESORIOS PARA DOSIFICACION;115;1;2;UTILES DE LIMPIEZA;2,115,286
287;BAYETAS EN ROLLO;116;1;2;BAYETAS Y PAÑOS;2,116,287
288;BAYETAS UNITARIAS;116;1;2;BAYETAS Y PAÑOS;2,116,288
289;BAYETAS DESECHABLES;116;1;2;BAYETAS Y PAÑOS;2,116,289
290;PAÑOS;116;1;2;BAYETAS Y PAÑOS;2,116,290
291;SISTEMA JONMASTER;117;1;2;SISTEMAS DE FREGADO/BARRIDO PL;2,117,291
292;SISTEMA TTS;117;1;2;SISTEMAS DE FREGADO/BARRIDO PL;2,117,292
293;SISTEMA RUBBERMAID;117;1;2;SISTEMAS DE FREGADO/BARRIDO PL;2,117,293
294;SISTEMA VILEDA;117;1;2;SISTEMAS DE FREGADO/BARRIDO PL;2,117,294
295;OTROS SISTEMAS;117;1;2;SISTEMAS DE FREGADO/BARRIDO PL;2,117,295
296;FREGONA DOMESTICA;118;1;2;FREGADO TRADICIONAL;2,118,296
297;FREGONA INDUSTRIAL;118;1;2;FREGADO TRADICIONAL;2,118,297
298;CUBO DOMESTICO;119;1;2;CUBOS;2,119,298
299;CUBO INDUSTRIAL;119;1;2;CUBOS;2,119,299
300;ACCESORIOS PARA CUBOS;119;1;2;CUBOS;2,119,300
301;CUBETAS;119;1;2;CUBOS;2,119,301
302;CUBOS AUXILIARES;119;1;2;CUBOS;2,119,302
303;GUANTE DESECHABLE;120;1;2;GUANTES;2,120,303
304;GUANTE DE FREGADO/LIMPIEZA;120;1;2;GUANTES;2,120,304
305;GUANTE TECNICO;120;1;2;GUANTES;2,120,305
306;CARROS Y EQUIPOS DE LIMPIEZA;121;1;2;CARROS;2,121,306
307;ACCESORIOS Y REPUESTOS CARROS;121;1;2;CARROS;2,121,307
308;CARROS DE HOTEL;121;1;2;CARROS;2,121,308
309;CARROS DE LAVANDERÍA;121;1;2;CARROS;2,121,309
310;CARROS DE COCINA Y COMEDOR;121;1;2;CARROS;2,121,310
311;TROLLEYS;121;1;2;CARROS;2,121,311
312;DISCOS 3M;122;1;2;DISCOS;2,122,312
313;ECONOMIC LINE 3M ADILIM;122;1;2;DISCOS;2,122,313
314;PALOS PARA FREGONAS Y ESCOBAS;123;1;2;PALOS;2,123,314
315;PALOS TELESCOPICOS;123;1;2;PALOS;2,123,315
316;LIMPIACRISTALES;124;1;2;LIMPIEZA DE CRISTALES;2,124,316
317;LAVAVIDRIOS;124;1;2;LIMPIEZA DE CRISTALES;2,124,317
318;CUBETAS;124;1;2;LIMPIEZA DE CRISTALES;2,124,318
319;PALOS TELESCOPICOS;124;1;2;LIMPIEZA DE CRISTALES;2,124,319
320;RASCADORES;124;1;2;LIMPIEZA DE CRISTALES;2,124,320
321;APLICADORES DE CERA;124;1;2;LIMPIEZA DE CRISTALES;2,124,321
322;ACCESORIOS CRISTALES;124;1;2;LIMPIEZA DE CRISTALES;2,124,322
323;RECAMBIOS;124;1;2;LIMPIEZA DE CRISTALES;2,124,323
324;BOLSA NEGRA Y BLANCA;125;1;2;BOLSAS DE BASURA;2,125,324
325;BOLSAS COLOR;125;1;2;BOLSAS DE BASURA;2,125,325
326;BOLSAS CAMISETA Y OTRAS;125;1;2;BOLSAS DE BASURA;2,125,326
327;VASOS;126;1;2;DESECHABLES;2,126,327
328;PLATOS;126;1;2;DESECHABLES;2,126,328
329;CUBIERTOS;126;1;2;DESECHABLES;2,126,329
330;TARRINAS Y CANUTILLOS;126;1;2;DESECHABLES;2,126,330
331;PALETINAS;126;1;2;DESECHABLES;2,126,331
332;PALILLOS;126;1;2;DESECHABLES;2,126,332
333;ASPIRADORES;127;1;2;MAQUINARIA;2,127,333
334;ROTATIVAS;127;1;2;MAQUINARIA;2,127,334
335;FREGADORAS;127;1;2;MAQUINARIA;2,127,335
336;HIDROLIMPIADORAS;127;1;2;MAQUINARIA;2,127,336
337;MAQUINAS INYECCION-EXTRACCION;127;1;2;MAQUINARIA;2,127,337
338;OTRAS;127;1;2;MAQUINARIA;2,127,338
339;REPUESTOS MAQUINARIA;127;1;2;MAQUINARIA;2,127,339
340;ACCESORIOS MAQUINARIA;127;1;2;MAQUINARIA;2,127,340
341;ASPIRADOR PROFESIONAL;128;1;2;ASPIRADORES;2,128,341
342;ASPIRADOR INDUSTRIAL;128;1;2;ASPIRADORES;2,128,342
343;RECAMBIOS Y ACCESORIOS;128;1;2;ASPIRADORES;2,128,343
344;OTROS QUIMICOS;129;1;2;FREGADORAS;2,129,344
345;HOMBRE A BORDO;129;1;2;FREGADORAS;2,129,345
346;RECAMBIOS Y ACCESORIOS;129;1;2;FREGADORAS;2,129,346
347;HIDROLIMPIADORA AGUA FRIA CONSUMO;130;1;2;HIDROLIMPIADORAS;2,130,347
348;HIDROLIMPIADORA AGUA FRIA PROFESIONAL;130;1;2;HIDROLIMPIADORAS;2,130,348
349;HIDROLIMPIADORA AGUA CALIENTE;130;1;2;HIDROLIMPIADORAS;2,130,349
350;HIDROLIMPIADORA ESPECIFICA;130;1;2;HIDROLIMPIADORAS;2,130,350
351;RECAMBIOS Y ACCESORIOS;130;1;2;HIDROLIMPIADORAS;2,130,351
352;SERVILLETAS ELEGANCE;131;1;2;DUNI;2,131,352
353;SERVILLETAS DUNILIN;131;1;2;DUNI;2,131,353
354;SERVILLETAS DUNISOFT;131;1;2;DUNI;2,131,354
355;SERVILLETAS TISU DUNI;131;1;2;DUNI;2,131,355
356;TETE A TETE;131;1;2;DUNI;2,131,356
357;ROLLOS DUNI;131;1;2;DUNI;2,131,357
358;MANTELITOS;131;1;2;DUNI;2,131,358
359;VELAS Y ACCESORIOS;131;1;2;DUNI;2,131,359
360;DUNILETTO;131;1;2;DUNI;2,131,360
361;VASOS DUNI;131;1;2;DUNI;2,131,361
362;PLATOS DUNI;131;1;2;DUNI;2,131,362
363;OTROS DUNI;131;1;2;DUNI;2,131,363
364;CUBIERTOS Y PLATOS DUNI;131;1;2;DUNI;2,131,364
